46.66,64.51
75.32,72.62
81.36,76.96
87.16,81.68
89.27,83.03
90.53,85.34
92.57,86.22
93.59,87.92
93.09,84.76
93.83,87.85
93.48,87.34
93.41,84.87
94.67,87.24
94.56,85.61
95.20,87.65
95.31,89.35
95.38,89.21
95.75,89.82
95.11,88.87
95.29,87.34
95.75,88.67
95.53,89.28
95.98,88.46
95.74,90.84
95.85,89.11
96.03,90.23
96.15,90.87
96.12,90.70
96.40,90.06
96.00,90.43
96.42,87.07
96.15,89.07
95.97,90.09
94.93,89.72
96.27,89.75
96.30,89.04
96.56,89.68
96.34,89.28
96.93,89.38
96.68,89.68
96.50,86.05
96.29,88.36
95.39,88.36
96.05,88.23
96.60,87.58
96.77,87.85
96.56,87.78
96.98,87.85
96.67,87.99
96.97,88.80
97.08,88.39
97.07,87.72
97.07,88.73
97.27,88.26
96.78,87.44
96.37,87.48
95.61,88.06
96.42,88.23
97.04,87.38
97.31,87.48
96.85,88.90
97.30,89.01
97.33,88.53
97.05,89.14
96.66,88.50
97.04,89.14
97.37,88.70
97.19,87.28
97.16,87.58
96.81,88.46
96.67,89.01
97.09,88.43
97.22,87.85
97.42,88.33
97.25,88.80
97.23,87.99
97.48,88.33
97.63,88.63
97.53,88.60
97.59,86.97
97.56,87.41
97.41,89.38
97.35,87.28
97.48,87.65
97.07,86.22
97.34,87.92
97.62,87.95
97.37,86.36
97.56,88.06
97.45,87.61
97.72,86.97
97.35,86.80
97.52,87.21
97.44,86.49
97.66,87.78
97.48,86.43
98.00,84.29
97.46,89.65
97.41,87.82
97.31,86.22
96.45,87.21
97.44,85.10
97.16,86.36
97.12,87.75
97.53,88.70
97.62,87.61
97.52,86.87
97.74,87.21
97.70,88.16
97.79,87.34
97.77,86.56
97.59,86.80
98.04,86.02
97.46,87.07
97.74,86.56
97.00,86.16
97.52,86.33
96.46,86.29
97.46,87.72
97.82,86.66
97.42,87.99
97.63,88.26
97.88,87.61
97.90,86.87
97.89,86.46
98.00,86.63
97.74,87.31
97.82,87.75
97.66,86.94
97.90,87.72
97.81,87.11
97.70,86.77
97.86,86.80
97.94,87.61
98.01,86.33
98.05,86.87
98.04,87.85
98.00,86.33
97.96,86.73
97.45,86.09
97.81,86.26
98.14,86.90
98.26,87.41
98.15,86.70
97.86,87.31
97.51,85.37
97.78,86.05
98.18,87.92
97.99,86.97
97.67,85.54
